YEAR,STATE_ABBR,AVG_REL_EST_AIR_STACK,AVG_REL_EST_ENERGY_RECOVERY,AVG_REL_EST_RECYCLING,AVG_REL_EST_OTH_DISP,AVG_REL_EST_POTW_NON_METALS,AVG_REL_EST_WATER,AVG_REL_EST_SURF_IMP,AVG_REL_EST_UNINJ_IIV,AVG_REL_EST_AIR_FUG,AVG_REL_EST_LAND_TREA,AVG_REL_EST_WASTE_TREATMENT,AVG_REL_EST_OTH_LANDF,AVG_REL_EST_RCRA_C,AVG_REL_EST_TOTAL_ON_OFFSITE_RELEASE,AVG_REL_EST_UNINJ_I,AVG_REL_EST_SI_5.5.3B,AVG_REL_EST_TOTAL_ONSITE_RELEASE,AVG_REL_EST_SI_5.5.3A,AVG_REL_EST_POTW_RELEASE,AVG_REL_EST_POTW_TREATMENT,AVG_REL_EST_TOTAL,AGE_ADJUSTED_CANCER_RATE
1999,AK,27014.11594,63.5,3350,2924264.333,12590.75,2405.55,14177058.82,2329750.4,10504.65,,34.69565217,,,,,,,,,,19487036.82,505.9
1999,AL,55856.15189,53807.75304,190506.4235,251.7727273,126951.3523,13704.17448,273639.5294,25301,9289.569244,6628.64,45495.00922,82214.32117,324077.2955,,,,,,,,1207722.992,425.2
1999,AR,27919.02567,142532.8224,245430.1,394.1515152,91786.81034,7941.638298,74492.04,27087.5,6742.647572,6401.037037,20269.68548,42381.90278,19501.625,,55561.5,,,,,,768442.4861,
1999,AS,935.3333333,501.5,,,,,,,1502.142857,,,,,2304,,,2304,,,,7546.97619,
1999,AZ,8327.026228,40702.46429,326196.6257,9113328.243,89121.16418,186.8421053,2947699.351,,4575.613362,1656.571429,33586.89286,92128.81132,,,,,,,,,12657509.61,422.9
1999,CA,8040.357152,60878.17845,86985.8,14911.42857,91626.42348,14835.07086,77398.02273,2574.333333,3046.617295,55903.26316,42184.83838,19062.2,308147.8305,,,,,,,,785594.3639,466.4
1999,CO,9672.685185,91162.52459,191105.2955,578001.9333,85078.67568,51428.56452,6463.714286,47870.66667,3395.562701,12062.5,31696.45122,113339.878,,,,,,,,,1221278.452,449.6
1999,CT,7168.916488,20578.62393,80667.19551,1500.875,65713.4,6183.920732,,,3109.078675,,65225.5285,754,,,,,,,,,250901.5388,516.3
1999,DC,,,4446,,,11,,,,,,,,,,,,,,,4457,534.6
1999,DE,30633.59067,28366.04082,190132.0408,15887.71429,132265.8333,23035.78846,17368.85714,,4485.065868,7050.5,87324.60759,7841.666667,,,,,,,,,544391.7057,503.2
1999,FL,92117.3501,29987.54331,137909.5502,3516.5,141624.8065,13311.40571,44516.18367,,7244.551522,32794.69565,21242.54286,112080.9979,165182.75,,1129971.103,,,,,,1931499.981,512.1
1999,GA,72934.45448,67339.19257,186032.8249,15122.92308,38711.45714,26079.61739,123842.1165,,6297.888984,11827.67857,22995.61039,8528.20339,180.75,,,,,,,,579892.7174,446.2
1999,GU,25457.7,,,,,,,,6722.388889,,,,6.7,,,,,,,,32186.78889,
1999,HI,16274.16471,126.5555556,89176,,,106.9615385,13,2535,2617.207792,,181.0909091,,,,,,,,,,111029.9805,436.4
1999,IA,35648.65759,22998.42012,171222.7458,6148.642857,167017.6465,26252.80392,48234.51282,,7022.377119,196.6666667,28728.84324,114744.087,132392.3333,,,,,,,,760607.7369,489
1999,ID,34883.4065,9928,76666.09091,512922.6522,56265.73333,154907.2542,534259.5349,,16250.71324,23188.5,3382.142857,16275.07143,2002583.333,,,,,,,,3441512.433,445.9
1999,IL,27180.16705,51160.22667,118768.0636,12245.33333,64739.156,15848.0967,65390.66355,,4903.154978,8789.2,27285.3221,167202.2027,1096203.875,,,5747,,,,,1665462.462,494.8
1999,IN,35906.42866,20353.74156,185361.3273,1291.783951,89140.92683,16192.91275,57639.25926,,7285.087389,37464.42105,25509.28266,146338.2606,51983.10526,,74188.75,,,,,,748655.2873,466.7
